-------------------
distribution:  D3
variable:      ERG
type:          H
-------------------

min / max / avg rel error:    0.0000 / 0.0052 / 0.0014
min / max / avg # of scores:  52339 / 52930 / 52631

---------------------------------------------------------------------------------------
              lower        upper                             rel      weight       # of
   bin        value        value          sp          sb   error      factor     scores
---------------------------------------------------------------------------------------
     1   1.0000e-03   2.2500e-03  4.8693e-07  6.1461e-105  0.0000  7.9225e+97      52927
     2   2.2500e-03   3.7400e-03  3.7063e-06  6.1461e-105  0.0000  6.0303e+98      52930
     3   3.7400e-03   1.7000e-02  3.5574e-04  6.1461e-105  0.0000  5.7880e+100      52716
     4   1.7000e-02   2.0000e-02  1.5051e-04  6.1461e-105  0.0000  2.4489e+100      52666
     5   2.0000e-02   5.0000e-02  5.4833e-03  6.1461e-104  0.0034  8.9216e+100      52657
     6   5.0000e-02   2.0000e-01  5.3353e-02  1.7896e-74  0.0032  2.9813e+72      52522
     7   2.0000e-01   2.7000e-01  2.6610e-02  6.2735e-32  0.0001  4.2417e+29      52488
     8   2.7000e-01   3.3000e-01  2.9072e-02  6.8559e-32  0.0001  4.2405e+29      52718
     9   3.3000e-01   4.7000e-01  6.5540e-02  3.0030e-10  0.0044  2.1825e+08      52782
    10   4.7000e-01   6.0000e-01  7.2219e-02  6.6095e-10  0.0004  1.0927e+08      52496
    11   6.0000e-01   7.5000e-01  5.2525e-02  1.2922e-05  0.0052  4.0646e+03      52339
    12   7.5000e-01   8.6100e-01  3.7315e-02  1.8686e-04  0.0035  1.9969e+02      52867
    13   8.6100e-01   1.2000e+00  9.4867e-02  9.1706e-03  0.0033  1.0345e+01      52465
    14   1.2000e+00   1.5000e+00  7.3049e-02  1.1484e-02  0.0004  6.3609e+00      52409
    15   1.5000e+00   1.8500e+00  7.6252e-02  6.7667e-02  0.0004  1.1269e+00      52503
    16   1.8500e+00   3.0000e+00  1.8968e-01  3.4592e-01  0.0009  5.4832e-01      52548
    17   3.0000e+00   4.3000e+00  1.2130e-01  3.4128e-01  0.0004  3.5541e-01      52687
    18   4.3000e+00   6.4300e+00  7.7889e-02  1.9614e-01  0.0005  3.9712e-01      52920
    19   6.4300e+00   2.0000e+01  2.4341e-02  2.8137e-02  0.0012  8.6512e-01      52360
---------------------------------------------------------------------------------------


