-------------------
distribution:  D3
variable:      ERG
type:          H
-------------------

min / max / avg rel error:    0.0000 / 0.0044 / 0.0012
min / max / avg # of scores:  52339 / 52930 / 52631

---------------------------------------------------------------------------------------
              lower        upper                             rel      weight       # of
   bin        value        value          sp          sb   error      factor     scores
---------------------------------------------------------------------------------------
     1   1.0000e-03   2.2500e-03  4.8693e-07  1.5852e-63  0.0000  3.0717e+56      52927
     2   2.2500e-03   3.7400e-03  3.7063e-06  1.5852e-63  0.0000  2.3381e+57      52930
     3   3.7400e-03   1.7000e-02  3.5574e-04  1.5852e-63  0.0000  2.2441e+59      52716
     4   1.7000e-02   2.0000e-02  1.5051e-04  1.5852e-63  0.0000  9.4949e+58      52666
     5   2.0000e-02   5.0000e-02  5.4833e-03  1.5852e-62  0.0031  3.4590e+59      52657
     6   5.0000e-02   2.0000e-01  5.3353e-02  2.8256e-44  0.0031  1.8882e+42      52522
     7   2.0000e-01   2.7000e-01  2.6610e-02  1.6571e-19  0.0001  1.6058e+17      52488
     8   2.7000e-01   3.3000e-01  2.9072e-02  1.8105e-19  0.0001  1.6058e+17      52718
     9   3.3000e-01   4.7000e-01  6.5540e-02  7.7609e-07  0.0044  8.4449e+04      52782
    10   4.7000e-01   6.0000e-01  7.2219e-02  1.7077e-06  0.0004  4.2291e+04      52496
    11   6.0000e-01   7.5000e-01  5.2525e-02  4.2152e-04  0.0037  1.2461e+02      52339
    12   7.5000e-01   8.6100e-01  3.7315e-02  1.9338e-03  0.0026  1.9296e+01      52867
    13   8.6100e-01   1.2000e+00  9.4867e-02  2.8315e-02  0.0027  3.3504e+00      52465
    14   1.2000e+00   1.5000e+00  7.3049e-02  3.2779e-02  0.0003  2.2286e+00      52409
    15   1.5000e+00   1.8500e+00  7.6252e-02  9.7110e-02  0.0003  7.8521e-01      52503
    16   1.8500e+00   3.0000e+00  1.8968e-01  3.6060e-01  0.0006  5.2601e-01      52548
    17   3.0000e+00   4.3000e+00  1.2130e-01  2.8748e-01  0.0003  4.2192e-01      52687
    18   4.3000e+00   6.4300e+00  7.7889e-02  1.6339e-01  0.0004  4.7670e-01      52920
    19   6.4300e+00   2.0000e+01  2.4341e-02  2.7962e-02  0.0009  8.7052e-01      52360
---------------------------------------------------------------------------------------


