-------------------
distribution:  D3
variable:      ERG
type:          H
-------------------

min / max / avg rel error:    0.0001 / 0.0082 / 0.0017
min / max / avg # of scores:  17562 / 18177 / 17857

---------------------------------------------------------------------------------------
              lower        upper                             rel      weight       # of
   bin        value        value          sp          sb   error      factor     scores
---------------------------------------------------------------------------------------
     1   1.0000e-11   4.0000e-09  1.7879e-03  7.4844e-12  0.0036  2.3888e+08      17954
     2   4.0000e-09   1.0000e-08  7.6381e-03  3.2170e-11  0.0036  2.3743e+08      17731
     3   1.0000e-08   2.5300e-08  4.0170e-02  1.6755e-10  0.0036  2.3975e+08      18177
     4   2.5300e-08   4.0000e-08  4.2575e-02  1.7719e-10  0.0036  2.4028e+08      18159
     5   4.0000e-08   5.0000e-08  2.7533e-02  1.1434e-10  0.0037  2.4081e+08      17731
     6   5.0000e-08   6.0000e-08  2.3477e-02  9.8525e-11  0.0036  2.3829e+08      18021
     7   6.0000e-08   8.0000e-08  3.2536e-02  1.3595e-10  0.0036  2.3932e+08      17885
     8   8.0000e-08   1.0000e-07  2.2152e-02  9.2619e-11  0.0036  2.3917e+08      17940
     9   1.0000e-07   1.5000e-07  2.5945e-02  1.0472e-08  0.0027  2.4777e+06      17905
    10   1.5000e-07   2.0000e-07  1.1276e-02  4.5611e-09  0.0027  2.4723e+06      17828
    11   2.0000e-07   2.5000e-07  5.1795e-03  2.0941e-09  0.0027  2.4733e+06      17827
    12   2.5000e-07   3.2500e-07  5.7438e-03  2.3139e-09  0.0027  2.4823e+06      17848
    13   3.2500e-07   3.5000e-07  1.6157e-03  6.5252e-10  0.0027  2.4761e+06      17886
    14   3.5000e-07   3.7500e-07  1.4292e-03  5.7639e-10  0.0027  2.4796e+06      17752
    15   3.7500e-07   4.5000e-07  3.6109e-03  5.3008e-08  0.0081  6.8119e+04      17929
    16   4.5000e-07   6.2500e-07  6.7741e-03  2.0455e-07  0.0021  3.3118e+04      17914
    17   6.2500e-07   1.0100e-06  1.0173e-02  1.2960e-06  0.0082  7.8497e+03      17815
    18   1.0100e-06   1.0800e-06  1.3675e-03  4.2189e-07  0.0018  3.2414e+03      17728
    19   1.0800e-06   1.1300e-06  9.2123e-04  2.8473e-07  0.0017  3.2355e+03      17870
    20   1.1300e-06   5.0000e-06  3.0032e-02  6.3615e-05  0.0035  4.7209e+02      17788
    21   5.0000e-06   6.2500e-06  4.3069e-03  4.5232e-05  0.0016  9.5219e+01      17911
    22   6.2500e-06   6.5000e-06  7.2069e-04  7.7447e-06  0.0012  9.3056e+01      17923
    23   6.5000e-06   6.8800e-06  1.0969e-03  1.1819e-05  0.0012  9.2812e+01      17794
    24   6.8800e-06   7.0000e-06  2.7769e-04  2.9847e-06  0.0012  9.3037e+01      17814
    25   7.0000e-06   2.0500e-05  2.2222e-02  7.0867e-04  0.0032  3.1357e+01      17893
    26   2.0500e-05   2.1200e-05  5.6315e-04  2.2455e-05  0.0009  2.5079e+01      18010
    27   2.1200e-05   2.1800e-05  7.0132e-04  2.7994e-05  0.0009  2.5053e+01      17922
    28   2.1800e-05   3.6000e-05  1.0673e-02  4.2533e-04  0.0009  2.5094e+01      17921
    29   3.6000e-05   3.7100e-05  6.1446e-04  2.4518e-05  0.0009  2.5062e+01      17705
    30   3.7100e-05   6.5000e-05  1.1888e-02  1.1913e-03  0.0008  9.9793e+00      17685
    31   6.5000e-05   6.7500e-05  8.1625e-04  8.2148e-05  0.0008  9.9364e+00      17702
    32   6.7500e-05   1.0100e-04  8.6412e-03  8.6856e-04  0.0008  9.9489e+00      17793
    33   1.0100e-04   1.0500e-04  8.2184e-04  1.0285e-04  0.0007  7.9910e+00      17887
    34   1.0500e-04   1.1600e-04  2.1895e-03  2.7814e-04  0.0006  7.8721e+00      17885
